學年度,縣市別,幼兒園,國小,國中,高級中等學校-普通科,高級中等學校-專業群科,高級中等學校-綜合高中,高級中等學校-實用技能學程,高級中等學校-進修部,大專校院(全部計入校本部),大專校院(跨縣市教學計入所在地縣市),宗教研修學院,國民補習及大專進修學校及空大,特殊教育學校
108,新北市,87311,198588,93426,37425,30732,4471,600,4028,141670,135795,81,17747,271
108,臺北市,56635,120623,64558,56217,26944,2641,323,4024,256209,237838,148,7326,653
108,桃園市,58589,126902,63378,29030,30448,1781,3993,4183,99870,110856,0,2639,409
108,臺中市,81908,155376,80549,36466,39657,1806,4435,4760,184268,183875,0,9967,702
108,臺南市,47967,90188,47473,23228,17808,2843,3121,1912,115057,115794,67,1578,408
108,高雄市,60483,127513,67579,32753,33865,1212,4279,2681,138258,143051,171,7619,566
108,宜蘭縣,11389,21698,12534,5663,4093,1103,601,581,12197,14880,0,689,86
108,新竹縣,17325,37203,16909,5029,4977,918,824,760,13314,17919,0,584,213
108,苗栗縣,13390,27856,14515,5933,6656,971,1083,769,18246,18018,0,228,114
108,彰化縣,31301,62052,33185,11609,15924,3582,2643,2113,31147,31147,0,817,493
108,南投縣,11295,22689,12793,3907,6876,778,796,561,10214,10214,58,494,123
108,雲林縣,14988,31117,18968,7225,6736,1182,1285,530,24603,25358,0,817,193
108,嘉義縣,9097,18355,10668,2636,4058,352,1080,333,26309,30480,0,1095,0
108,屏東縣,17157,34688,20054,8123,7020,700,562,866,36734,36549,0,1310,168
108,臺東縣,4853,9975,5805,541,2533,2105,187,237,5842,5863,0,33,114
108,花蓮縣,7531,15217,8567,3810,3504,1485,20,434,18027,18040,0,289,127
108,澎湖縣,1866,3472,2062,833,1368,0,52,0,3051,3051,0,36,0
108,基隆市,7506,15862,8704,3502,4334,270,323,370,14561,14561,0,2061,114
108,新竹市,14559,31907,15323,9025,6102,2073,494,1158,45986,44777,0,179,0
108,嘉義市,6996,15107,8843,6076,7488,991,1746,423,13222,10593,0,184,264
108,金門縣,2099,3756,1846,948,931,0,4,63,4387,4451,0,0,0
108,連江縣,300,470,241,0,0,257,0,0,0,62,0,0,0
